class,latitude,longitude
8,44.76237244,-93.54363495
3,44.562846,-92.81153412
2,44.983595,-92.80102802
2,45.22330658,-93.49642356
2,45.06988848,-93.50309681
9,45.39820324,-93.28675379
9,44.66258407,-93.13135657
11,44.61997771,-93.82515701
3,44.55904117,-93.40537027
9,45.11048384,-93.21933236
3,45.39907182,-93.08475542
11,44.78861989,-93.31443815
8,44.8257801,-92.97993126
8,45.00287835,-92.87899573
8,44.8653907,-93.14396892
3,44.82728021,-93.57991754
3,45.04077338,-93.49141437
3,44.82938833,-93.64028109
11,44.81052299,-93.17570098
3,45.14394079,-93.54915735
3,44.82682774,-93.82848233
3,45.38243065,-93.21386709
9,44.83971973,-93.62786937
3,44.68344967,-93.5565244
3,44.63621104,-93.42519795
3,44.96021698,-92.88669291
7,44.66723293,-93.06400251
3,44.64324186,-93.23534447
7,44.72768224,-93.12165381
7,44.75306837,-93.75503647
7,44.630775,-92.93990772
7,45.27246538,-93.24290262
7,44.70200575,-93.51580483
3,45.09155932,-93.4197945
8,45.09212029,-93.41407988
10,44.76457539,-93.58952519
3,44.78390821,-93.05503016
3,44.71090108,-93.15229635
11,44.69442267,-93.15528219
11,44.97276161,-92.78394494
10,44.72814771,-93.17848222
3,44.67021217,-93.04659608
10,44.69847476,-93.15453571
10,44.7845916,-93.30607348
10,44.72405726,-93.59100764
1,44.98948455,-93.06002935
1,44.91343962,-93.1548425
1,44.93133292,-93.08326171
1,45.03214652,-93.25105059
1,44.90609339,-93.17049953
1,44.97823048,-93.03729964
1,44.97492656,-93.32762967
1,44.93010305,-93.29934274
1,45.03946082,-93.29053387
1,44.90852503,-93.20640637
1,44.93937402,-93.01933241
1,44.91809,-93.112615
1,44.94738073,-93.03933048
1,44.97664359,-93.02488989
1,44.97313277,-93.30619425
1,45.05199564,-93.31702991
1,44.94777579,-93.03967496
1,44.90882214,-93.00485154
1,45.02297115,-93.27390603
1,44.91018554,-93.00748328
1,44.98250832,-93.04253891
1,44.93956732,-93.01840076
1,44.95301427,-93.31669936
1,44.92119626,-93.1090247
1,44.9009787,-93.17902011
1,44.90624473,-93.20148935
1,44.93009604,-93.08398393
1,44.98440499,-93.09091188
1,44.90556808,-93.18802642
1,44.9736377,-93.01060174
2,44.92921445,-93.02019318
2,44.8999134,-93.03245391
2,44.9126882,-93.30983574
2,44.95392351,-93.25605572
2,44.93421836,-93.3019246
2,44.92104446,-93.10650902
2,44.89504993,-93.1778579
2,44.95997901,-93.0742168
2,44.94594739,-93.05366363
2,44.96188627,-93.04074541
2,44.91216126,-93.01293929
2,44.92273448,-93.00802687
2,44.93839724,-93.01563365
2,44.91414037,-93.22542547
2,44.93230347,-93.31103911
2,44.96910309,-93.07830539
2,44.97305988,-93.31924896
2,44.92697324,-93.13727988
2,44.94714555,-93.19399076
2,44.9695161,-93.2862239
2,44.93866517,-93.02704066
2,44.91394266,-93.30979984
2,44.90653071,-93.00878466
2,44.93178692,-93.17226846
2,44.91363273,-93.2083205
2,44.91282324,-93.20793752
2,44.98200928,-93.04239947
2,44.9728004,-93.31544295
2,44.93209595,-93.14413547
2,44.97134092,-93.03276271
2,44.90835681,-93.20103176
2,44.98279769,-93.1914473
2,44.92905132,-93.3152034
2,44.90691805,-93.31090217
2,44.98346462,-93.07921666
2,44.96922255,-93.21637771
2,44.94092066,-93.14553817
2,44.89498889,-93.17999952
2,44.97651295,-93.1891469
2,44.91779858,-93.25567936
2,44.92189744,-93.07872921
2,44.96890318,-93.05216331
2,44.9057951,-93.20196251
2,44.90560444,-93.16306992
2,44.91183794,-93.28850549
2,44.94127751,-93.14453869
2,44.93794711,-93.16319098
2,44.98997906,-93.01184196
2,44.98061888,-93.20209429
2,44.93689046,-93.08174542
2,44.91781504,-93.21181059
2,44.99095248,-93.2263355
2,44.98538168,-93.04000097
2,44.93704604,-93.09838513
2,44.93446043,-93.18938561
2,44.92010071,-93.072732920000007
2,44.91679279,-93.01182692
2,44.92543403,-93.01753085
2,44.96732695,-93.32610996
2,44.90645572,-93.28087819
2,45.02536712,-93.2437594
2,44.93785498,-93.02704028
2,44.98937024,-93.08361487
2,44.958101310000004,-93.05101244
2,44.91624617,-93.13460358
2,44.96767008,-93.14623854
2,44.96071467,-93.04947586
2,44.93347713,-93.11714493
2,44.98842672,-93.11319678
2,44.925805,-93.19734024
2,44.99127019,-93.27351881
2,44.92886749,-93.30607166
2,44.91706319,-93.00802608
