CTU Name,Average tree cover (%),Lowest block group tree cover (%),Highest block group tree cover (%)
Lakeland,44.64,42.8,48.8
Lakeland Shores,52.53,42.8,42.8
Laketown Twp.,23.26,20.1,47.1
Lakeville,29.94,8.1,51.1
Landfall,17.23,40.1,40.1
Lauderdale,31.46,20.4,42.6
Lexington,37.66,31.5,33.9
Lilydale,51.21,50.2,56
Lino Lakes,37.94,26.3,52.9
Linwood Twp.,48.36,47.3,50.5
Little Canada,36.01,21.8,46
Long Lake,36.8,26.9,43.3
Loretto,19.26,28.3,28.3
Louisville Twp.,31.95,17.9,34.2
Mahtomedi,50.02,46.9,58.7
Maple Grove,33.59,11.7,52.8
Maple Plain,26.43,20.7,27.1
Maplewood,40.62,26.1,50.5
Marine on St. Croix,50.7,50.3,50.3
Marshan Twp.,8.15,8.2,14
May Twp.,35.71,NA,NA
Mayer,17.27,12.3,17.5
Medicine Lake,44.42,44.4,44.4
Medina,34.11,28.3,38.6
Mendota,55.99,50.2,50.2
Mendota Heights,46.14,39.8,58.9
Miesville,3.54,8,8
Minneapolis,24.41,0,52.5
Minnetonka,47.46,18.9,57.5
Minnetonka Beach,47.62,46.6,53.1
Minnetrista,28.82,19.4,44.9
Mound,35.36,20.8,46.6
Mounds View,40.95,27.6,54.7
New Brighton,34.56,16.2,46.6
New Germany,14.23,9.9,13.7
New Hope,31.31,15.5,45.6
New Market Twp.,20.57,17,25.1
New Prague,21.98,13.5,24.7
New Trier,11.22,7.7,7.7
Newport,42.61,41.1,46.9
Nininger Twp.,18.4,13.2,30.1
North Oaks,56.72,53.3,64.1
North St. Paul,37.03,25.3,45.5
Northfield,15.18,9.2,9.2
Norwood Young America,17.36,8.7,18.5
Nowthen,30.44,24.1,34.7
Oak Grove,43.39,39.6,48.3
Oak Park Heights,30.33,23,38.9
Oakdale,38.23,24.3,53.1
Orono,45.51,40,54.5
Osseo,16.82,14.7,21.5
Pine Springs,48.93,47.6,47.6
Plymouth,37.16,15,54.6
Prior Lake,35.35,23.4,49.3
Ramsey,39.47,23.5,50.1
Randolph,25.87,7.7,7.7
Randolph Twp.,10.3,7.7,7.7
Ravenna Twp.,38.22,38.4,38.4
Richfield,29.83,8.6,49.2
Robbinsdale,29.51,12.2,46.7
Rockford,28.19,30.4,30.4
Rogers,21.5,18.7,25.9
Rosemount,21.86,19.3,42.1
Roseville,34.81,15.5,48.2
San Francisco Twp.,26.17,15.3,35.6
Sand Creek Twp.,20.79,23.5,23.5
Savage,40.32,28.7,55.2
Scandia,35.5,24.6,42.5
Sciota Twp.,5.33,9.2,9.2
Shakopee,26.05,17.9,40.3
Shoreview,44.84,28.8,53.6
Shorewood,50.94,37.3,58
South St. Paul,30.03,13.7,52.7
Spring Lake Park,25.75,22.2,49.1
Spring Lake Twp.,21.82,15.7,28.1
Spring Park,26.68,21,46.6
St. Anthony,34.19,24.3,43.2
St. Bonifacius,22.95,19.4,26.7
St. Francis,42.02,36,45.5
St. Lawrence Twp.,33.04,19.1,19.1
St. Louis Park,32.91,12,56.6
St. Marys Point,61.31,59.8,59.8
St. Paul,31.45,1.4,57.4
St. Paul Park,34.35,30.8,41.6
Stillwater,41.76,28.5,53.4
Stillwater Twp.,32.81,31.7,53.4
Sunfish Lake,57.37,60.6,60.6
Tonka Bay,45.45,44.5,45.4
Vadnais Heights,40.71,21.9,50.2
Vermillion,15.58,8.1,8.1
Vermillion Twp.,5.29,8.1,13.2
Victoria,34.45,20.1,47.1
Waconia,17.41,12.3,23.8
Waconia Twp.,13.55,12.3,23.6
Waterford Twp.,10.51,9.2,9.2
Watertown,26.64,17.5,30.9
Watertown Twp.,18.79,17.5,24.5
Wayzata,44.95,29.3,50.1
West Lakeland Twp.,31.94,27.9,40.9
West St. Paul,38.7,22,50.4
White Bear Lake,40.26,36.7,50.6
White Bear Twp.,43.25,38,56.1
Willernie,54.66,55.9,55.9
Woodbury,31.22,16.8,52.4
Woodland,53.12,55.1,55.1
Young America Twp.,9.04,8.7,18.5
