Original Sort Order,Level 0,Level 1,Level 2,Check,Level 3a,Level 4,Count,Domain,COMMENTS,Decision
352,,Jack oak,Jack oak,,Oak,,2,Arboretum_Illinois,CVC level 2 jack oak and almost certainly  blackjack oak but this is several species depending on location,
406,,Oak,Oak,,Oak,,2,Arboretum_Illinois,,
520,,S oak,Oak,YES,Oak,,28,Arboretum_Illinois,"CVC likely spanish oak = one of the red oak group in lowlands NOT necessairly southern red oak OR swamp oak a white oak group of swamps. .  In the east this would be pin oak, but in oak country problematic to species. Unfortunately need to check context and nearby calls.I would put the upland into spanish and lowlands into swamp = swamp white oak.  However the surveyors were consistent so is an OTU worth preserving.  JP changed Level 2 from Spanish oak to Oak",
541,,Sblacko,Oak,YES,Oak,,1,Arboretum_Illinois,CVC appears to be black oak,
416,,Overcup,Overcup oak,,Oak,,1,Arboretum_Illinois,,
446,,Pin oak,Pin Oak,,Oak,,30,Arboretum_Illinois,,
424,,P oak,Pin/post oak,YES,Oak,,19,Arboretum_Illinois,"CVC Post or pin oak  thesaurus: ""pin oak"" IN GLO; ""p oak"" 1806-07 Shawnee Hills IL  GLO; ""pin oak"" 1821-1842 GLO Co. NE IL ; ""pin oak"" 1805-1815 GLO unglac. IL Leitner 1976;  ""pin oak"" 1830s GLO no. IN Qadir 1964; ""pin oak"" 1820s GLO so. IN Crankshaw 1964;  ""pin oak"" Dearborn Co., Ohio River Valley SE IN, GLO Reidhead 1984;  ""pin oak"" 1806-1821 GLO IL,  ""pin oak"" 122 & ""pin o."" 6 all GLO IL;   ""pin oak"" 1804-1821 GLO Crawford Co IL (E&E 1997); ""p oak"", ""pin oak"" 1811 Vigo Co IN to 1834 Lake Co. IN GLO; "" post oak"" IN GLO; ""post oak"" 1816 Wabush R. IN-IL GLO; ""post oak"" 1806-07 Shawnee Hills IL  GLO; ""post oak"" 1821-1842 GLO Will Co. NE IL; ""post oak"" 1805-1815 GLO unglac. IL Leitner 1976;  ""post oak"" 1830s GLO no. IN Qadir 1964; ""post oak"" 1820s GLO so. IN Crankshaw 1964; ""post oak"" 1806-1821 GLO IL; some ""post o."" 1815 Washington Co. IL;   ""post oak"" 1804-1821 GLO Crawford Co IL (E&E 1997);  Thus I would toss a coin or check context",
475,,Post oak,Post oak,,Oak,,2,Arboretum_Illinois,,
502,,Red oak,Red oak,,Oak,,306,Arboretum_Illinois,,
543,,Scarlet oak,Scarlet oak,,Oak,,1,Arboretum_Illinois,,
565,,Spanish  oak,Spanish oak,,Oak,,23,Arboretum_Illinois,,
,,Spanish Oak,Spanish oak,,Oak,,,Arboretum_Illinois,,
588,,Swamp oak,Swamp oak,YES - Done,Oak,,1,Arboretum_Illinois,,
598,,Swwhioak,Swamp white oak,YES,Oak,,2,Arboretum_Illinois,,
670,,Water oak,Water oak,,Oak,,1,Arboretum_Illinois,,
688,,White oak,White oak,,Oak,,3211,Arboretum_Illinois,,
732,,Yellow oak,Yellow oak,,Oak,,110,Arboretum_Illinois,,
281,,HawTree,Hawthorn,,Other hardwood,,1,Arboretum_Illinois,,
499,,Red haw,Hawthorn,,Other hardwood,,2,Arboretum_Illinois,,
196,,Coffeenut,Kentucky coffee tree,,Other hardwood,,2,Arboretum_Illinois,,
622,,Thorn,Thorn tree,,Other hardwood,,4,Arboretum_Illinois,CVC explicitly this is thorn  not necessairly locust at level 3a,
452,,Pine,Pine,YES - Done,Pine,,6,Arboretum_Illinois,"STJ: Until the mid-19th Century, many conifers were lumped as pines - e.g., spruce and hemlock. Are we sure that a 'pine' is a 'pine' (i.e., Pinus sensu lato).  [""Ce n'est pas un pine""]   CVC correct early fir, pine, spruce, cypress, cedar could mean any conifer.  At this time however the genera,  except for ""spruce pine"" mostly likely hemolock were correctly seperated.  Thus unless we want to upset the apple cart C'est le pin, N'est pas?  
",
693,,White pine,White Pine,,Pine,,16,Arboretum_Illinois,,
734,,Yellow pine,Yellow pine,,Pine,,1,Arboretum_Illinois,,
31,,Aspen,Aspen,,Poplar,,38,Arboretum_Illinois,,
481,,Quaking,Aspen,YES,Poplar,,2,Arboretum_Illinois,see above,
483,,Quaking asp,Aspen,,Poplar,,2,Arboretum_Illinois,see above,
485,,Quaking aspen,Aspen,,Poplar,,2,Arboretum_Illinois,see above,
205,,Cottonwood,Cottonwood,,Poplar,,19,Arboretum_Illinois,,
464,,Poplar,Poplar,,Poplar/tulip poplar,,2,Arboretum_Illinois,"""",
604,,Sycamore,Sycamore,,Sycamore,,3,Arboretum_Illinois,,
617,,Tamarack,Tamarack,,Tamarack,,1,Arboretum_Illinois,,
631,,Unknown,Name missing,,Unknown tree,,2,Arboretum_Illinois,,
106,,Black walnut,Black walnut,,Walnut,,25,Arboretum_Illinois,,
660,,Walnut,Walnut,,Walnut,,19,Arboretum_Illinois,,
695,,White walnut,White walnut,YES - Done,Walnut,,3,Arboretum_Illinois,CVC would be white walnut in level 2; JP changed level 2 from Butternut to White walnut 1-31-14 ,
703,,Willow,Willow,,Willow,,21,Arboretum_Illinois,,
20,,Ash,Ash,,Ash,,124,Brugam_Illinois,,
634,,W Ash,White ash,,Ash,,6,Brugam_Illinois,,
371,,Lyn,Basswood,,Basswood,,24,Brugam_Illinois,CVC level 2 would be lynn,
83,,Birch,Birch,,Birch,,16,Brugam_Illinois,,
144,,Buckeye,Buckeye,,Buckeye,,22,Brugam_Illinois,,
186,,Cherry,Cherry,,Cherry,,6,Brugam_Illinois,,
222,,Dogwood,Dogwood,,Dogwood,,64,Brugam_Illinois,,
237,,Elm,Elm,,Elm,,336,Brugam_Illinois,,
272,,Hackberry,Hackberry,,Hackberry,,88,Brugam_Illinois,,
304,,Hickory,Hickory,,Hickory,,927,Brugam_Illinois,,
100,,Black Locust,Honey locust,,Locust,,10,Brugam_Illinois,,
322,,Honey Locust,Honey locust,,Locust,,8,Brugam_Illinois,,
128,,Box Elder,Box elder,,Maple,,14,Brugam_Illinois,,
386,,Maple,Maple,,Maple,,49,Brugam_Illinois,,
578,,Sugar Maple,Sugar maple,,Maple,,39,Brugam_Illinois,,
394,,Mulberry,Mulberry,,Mulberry,,20,Brugam_Illinois,,
400,,No Tree,No tree,,No tree,,2292,Brugam_Illinois,,
,,Prairie,No tree,,No tree,,,Brugam_Illinois,,
,,,No tree,,No tree,,,Brugam_Illinois,,
98,,Black Jack,Black jack oak,,Oak,,210,Brugam_Illinois,,
103,,Black Oak,Black oak,,Oak,,1297,Brugam_Illinois,,
160,,Burr Oak,Bur oak,,Oak,,13,Brugam_Illinois,,
419,,Overcup Oak,Overcup oak,,Oak,,61,Brugam_Illinois,,
447,,Pin Oak,Pin Oak,,Oak,,197,Brugam_Illinois,,
476,,Post Oak,Post oak,,Oak,,439,Brugam_Illinois,,
503,,Red Oak,Red oak,,Oak,,75,Brugam_Illinois,,
567,,Spanish Oak,Spanish oak,,Oak,,29,Brugam_Illinois,,
689,,White Oak,White oak,,Oak,,1365,Brugam_Illinois,,
327,,Hoop Ash,Other hardwood,,Other hardwood,,1,Brugam_Illinois,"CVC some difference of opinion here see thesaurus  ""hoop ash""= black ash  IN GLO; ""black ash"" 1816 Wabush R. IN-IL GLO; ""b ash"" 1821-1842 GLO Cook Co. NE IL ; ""black ash"", ""hoop ash"" & ""hoopwood"" 1805-1815 GLO unglac. IL Leitner 1976;   ""black ash"" 1830s GLO no. IN Qadir 1964;   ""hoopash"" =F. nigra 1830s GLO no. IN Qadir 1964;   ""hoop ash"" = black ash = F. nigra  1820s GLO so. IN Crankshaw 1964;   ""black ash"" Dearborn Co., Ohio River Valley SE IN, GLO Reidhead 1984; ""b ash"" 1806-1821 GLO IL; ""hoop ash"" = F. nigra 1804-1821 GLO Crawford Co IL (E&E 1997); ""black ash"" or ""b. ash"" 1814 Vigo Co IN to 1834 St Joseph Co. IN GLO; In Ohio sometimes hoop ash = hackberry, but here seems level 3a as ash (=black ash).",
432,,Paw Paw,Paw paw,,Other hardwood,,1,Brugam_Illinois,,
434,,Pecan,Pecan,,Other hardwood,,6,Brugam_Illinois,,
441,,Persimmon,Persimmon,,Other hardwood,,2,Brugam_Illinois,,
494,,Red Bud,Red bud,,Other hardwood,,13,Brugam_Illinois,,
536,,Sassafras,Sassafrass,,Other hardwood,,25,Brugam_Illinois,,
206,,Cottonwood,Cottonwood,,Poplar,,71,Brugam_Illinois,,
605,,Sycamore,Sycamore,,Sycamore,,42,Brugam_Illinois,,
632,,Unknown,Name missing,,Unknown tree,,26,Brugam_Illinois,,
107,,Black Walnut,Black walnut,,Walnut,,77,Brugam_Illinois,,
166,,Butternut,Butternut,,Walnut,,17,Brugam_Illinois,,
704,,Willow,Willow,,Willow,,36,Brugam_Illinois,,
743,,Ashs,Ash,,Ash,,,Eastern Townships,,
751,,Chamaeis,Atlantic white cedar,,Atlantic white cedar,,,Eastern Townships,,
744,,Basswood,Basswood,,Basswood,,,Eastern Townships,,
746,,Beech,Beech,,Beech,,,Eastern Townships,,
747,,Birches,Birch,,Birch,,,Eastern Townships,,
768,,Nyssa,Black gum,,Black gum,,,Eastern Townships,,
750,,Cedar,Cedar,,Cedar/juniper,,,Eastern Townships,,
752,,Cherries,Cherries,,Cherry,,,Eastern Townships,,
753,,Chestnut,Chestnut,,Chestnut,,,Eastern Townships,,
755,,Elms,Elms,,Elm,,,Eastern Townships,,
756,,Fir,Fir,,Fir,,,Eastern Townships,,
757,,Hemlock,Hemlock,,Hemlock,,,Eastern Townships,,
758,,Hickories,Hickory,,Hickory,,,Eastern Townships,,
760,,Ironwoods,Ironwood,,Ironwood,,,Eastern Townships,,
764,,Locust,Locust,,Locust,,,Eastern Townships,,
766,,Maples,Maple,,Maple,,,Eastern Townships,,
767,,Mullberry,Mullberry,,Mullberry,,,Eastern Townships,,
769,,Oaks,Oak,,Oak,,,Eastern Townships,,
745,,Bay,Bay,,Other hardwood,,,Eastern Townships,,
749,,Catalpa,Catalpa,,Other hardwood,,,Eastern Townships,,
759,,Holly,Holly,,Other hardwood,,,Eastern Townships,,
762,,KentuckyCoffee,Kentucky coffee tree,,Other hardwood,,,Eastern Townships,,
765,,Magnolia,Magnolia,,Other hardwood,,,Eastern Townships,,
779,,Other,Other,,Other hardwood,,,Eastern Townships,,
770,,PawPaw,Paw paw,,Other hardwood,,,Eastern Townships,,
771,,Persimmon,Persimmon,,Other hardwood,,,Eastern Townships,,
774,,Redbud,Red bud,,Other hardwood,,,Eastern Townships,,
775,,Sourwood,Sourwood,,Other hardwood,,,Eastern Townships,,
772,,Pines,Pines,,Pine,,,Eastern Townships,,
773,,Poplars,Poplar,,Poplar/tulip poplar,,,Eastern Townships,,
776,,Spruces,Spruce,,Spruce,,,Eastern Townships,,
777,,SweetGum,Sweet gum,,Sweet gum,,,Eastern Townships,,
748,,Buttonwood,Buttonwood,,Sycamore,,,Eastern Townships,,
778,,Tamarack,Tamarack,,Tamarack,,,Eastern Townships,,
763,,Liriodendron,Liriodendron,,Tulip poplar,,,Eastern Townships,,
761,,Juglans,Juglans,,Walnut,,,Eastern Townships,,
,,Ash,,,Ash,,156,ND_Illinois_v1.3,,
,,ash ,,,Ash,,7,ND_Illinois_v1.3,,
,,b ash,,,Ash,,8,ND_Illinois_v1.3,,
,,black ash,,,Ash,,1,ND_Illinois_v1.3,,
,,forked ash,,,Ash,,1,ND_Illinois_v1.3,,
,,w ash,,,Ash,,25,ND_Illinois_v1.3,,
,,w. ash,,,Ash,,2,ND_Illinois_v1.3,,
,,Wh Ash,,,Ash,,1,ND_Illinois_v1.3,,
,,White Ash,,,Ash,,4,ND_Illinois_v1.3,,
,,Cypress,,,Bald cypress,,5,ND_Illinois_v1.3,,
,,Lin,,,Basswood,,7,ND_Illinois_v1.3,,
,,Linn,,,Basswood,,6,ND_Illinois_v1.3,,
,,Lyme,,,Basswood,,3,ND_Illinois_v1.3,,
,,Lyn,,,Basswood,,5,ND_Illinois_v1.3,,
,,lynn,,,Basswood,,29,ND_Illinois_v1.3,,
,,beech,,,Beech,,31,ND_Illinois_v1.3,,
,,Birch,,,Birch,,6,ND_Illinois_v1.3,,
,,burch,,,Birch,,2,ND_Illinois_v1.3,,
,,water birch,,,Birch,,1,ND_Illinois_v1.3,,
,,B Gum,,,Black gum,,42,ND_Illinois_v1.3,,
,,B. gum,,,Black gum,,4,ND_Illinois_v1.3,,
,,black gum,,,Black gum,,3,ND_Illinois_v1.3,,
,,Blk gum,,,Black gum,,1,ND_Illinois_v1.3,,
,,Gum,,,Black gum/sweet gum,,84,ND_Illinois_v1.3,,
,,b eye,,,Buckeye,,1,ND_Illinois_v1.3,,
,,Buc-eye,,,Buckeye,,1,ND_Illinois_v1.3,,
,,Buckeye,,,Buckeye,,12,ND_Illinois_v1.3,,
,,Cherry,,,Cherry,,25,ND_Illinois_v1.3,,
,,cherry tree,,,Cherry,,3,ND_Illinois_v1.3,,
,,cherrytree,,,Cherry,,2,ND_Illinois_v1.3,,
,,Chirry tree,,,Cherry,,1,ND_Illinois_v1.3,,
,,Dgw,,,Dogwood,,1,ND_Illinois_v1.3,,
,,dgwd,,,Dogwood,,1,ND_Illinois_v1.3,,
,,Dogwd,,,Dogwood,,2,ND_Illinois_v1.3,,
,,Dogwod,,,Dogwood,,1,ND_Illinois_v1.3,,
,,dogwood,,,Dogwood,,72,ND_Illinois_v1.3,,
,,allim,,,Elm,,1,ND_Illinois_v1.3,,
,,Elleim,,,Elm,,1,ND_Illinois_v1.3,,
,,Ellem,,,Elm,,2,ND_Illinois_v1.3,,
,,ellim,,,Elm,,2,ND_Illinois_v1.3,,
,,ellum,,,Elm,,1,ND_Illinois_v1.3,,
,,elm,,,Elm,,552,ND_Illinois_v1.3,,
,,Elm ,,,Elm,,1,ND_Illinois_v1.3,,
,,Elm sapling,,,Elm,,1,ND_Illinois_v1.3,,
,,Red Elm,,,Elm,,1,ND_Illinois_v1.3,,
,,w elm,,,Elm,,1,ND_Illinois_v1.3,,
,,hack,,,Hackberry,,2,ND_Illinois_v1.3,,
,,hack berry,,,Hackberry,,1,ND_Illinois_v1.3,,
,,hackberry,,,Hackberry,,32,ND_Illinois_v1.3,,
,,Hackbery,,,Hackberry,,1,ND_Illinois_v1.3,,
,,hackbry,,,Hackberry,,1,ND_Illinois_v1.3,,
,,Hackby,,,Hackberry,,7,ND_Illinois_v1.3,,
,,Hby,,,Hackberry,,1,ND_Illinois_v1.3,,
,,H,,,Hickory,,2,ND_Illinois_v1.3,,
,,Hcko,,,Hickory,,2,ND_Illinois_v1.3,,
,,hcy,,,Hickory,,1,ND_Illinois_v1.3,,
,,hick,,,Hickory,,29,ND_Illinois_v1.3,,
,,hickey,,,Hickory,,1,ND_Illinois_v1.3,,
,,hickoey,,,Hickory,,1,ND_Illinois_v1.3,,
,,hickory,,,Hickory,,941,ND_Illinois_v1.3,,
,,hickory ,,,Hickory,,1,ND_Illinois_v1.3,,
,,hickory sapling,,,Hickory,,2,ND_Illinois_v1.3,,
,,hickoy,,,Hickory,,2,ND_Illinois_v1.3,,
,,hickr,,,Hickory,,1,ND_Illinois_v1.3,,
,,hickry,,,Hickory,,24,ND_Illinois_v1.3,,
,,hicky,,,Hickory,,200,ND_Illinois_v1.3,,
,,hicy,,,Hickory,,2,ND_Illinois_v1.3,,
,,hikY,,,Hickory,,1,ND_Illinois_v1.3,,
,,Hkry,,,Hickory,,1,ND_Illinois_v1.3,,
,,hky,,,Hickory,,102,ND_Illinois_v1.3,,
,,Hky.,,,Hickory,,1,ND_Illinois_v1.3,,
,,H-symbol,,,Hickory,,12,ND_Illinois_v1.3,,
,,H-symbol ,,,Hickory,,1,ND_Illinois_v1.3,,
,,sealy bark hickory,,,Hickory,,1,ND_Illinois_v1.3,,
,,Horn beam,,,Ironwood,,1,ND_Illinois_v1.3,,
,,Iron wood ,,,Ironwood,,1,ND_Illinois_v1.3,,
,,ironwood,,,Ironwood,,10,ND_Illinois_v1.3,,
,,honey locus,,,Locust,,3,ND_Illinois_v1.3,,
,,honey locust,,,Locust,,12,ND_Illinois_v1.3,,
,,honey Locust ,,,Locust,,1,ND_Illinois_v1.3,,
,,hony locust,,,Locust,,1,ND_Illinois_v1.3,,
,,locu,,,Locust,,2,ND_Illinois_v1.3,,
,,locus,,,Locust,,6,ND_Illinois_v1.3,,
,,Locust,,,Locust,,15,ND_Illinois_v1.3,,
,,box elder,,,Maple,,5,ND_Illinois_v1.3,,
,,elder,,,Maple,,2,ND_Illinois_v1.3,,
,,Maple,,,Maple,,85,ND_Illinois_v1.3,,
,,mapole,,,Maple,,2,ND_Illinois_v1.3,,
,,Mayple,,,Maple,,1,ND_Illinois_v1.3,,
,,Shugar tree,,,Maple,,1,ND_Illinois_v1.3,,
,,Shugartree,,,Maple,,2,ND_Illinois_v1.3,,
,,Shugurtree,,,Maple,,2,ND_Illinois_v1.3,,
,,Soft maple,,,Maple,,1,ND_Illinois_v1.3,,
,,Sug Maple,,,Maple,,1,ND_Illinois_v1.3,,
,,sugar,,,Maple,,89,ND_Illinois_v1.3,,
,,Sugar ,,,Maple,,2,ND_Illinois_v1.3,,
,,Sugar Maple,,,Maple,,3,ND_Illinois_v1.3,,
,,Sugar tree,,,Maple,,32,ND_Illinois_v1.3,,
,,sugartree,,,Maple,,43,ND_Illinois_v1.3,,
,,W Maple,,,Maple,,1,ND_Illinois_v1.3,,
,,Mulberry,,,Mulberry,,34,ND_Illinois_v1.3,,
,,mulbery,,,Mulberry,,5,ND_Illinois_v1.3,,
,,mulby,,,Mulberry,,3,ND_Illinois_v1.3,,
,,No data,,,No data,,98,ND_Illinois_v1.3,,
,,No tree,,,No tree,,7621,ND_Illinois_v1.3,,
,, b oak,,,Oak,,2,ND_Illinois_v1.3,,
,, W oak,,,Oak,,1,ND_Illinois_v1.3,,
,,? oak,,,Oak,,4,ND_Illinois_v1.3,,
,,88888 oak,,,Oak,,3,ND_Illinois_v1.3,,
,,b jack,,,Oak,,61,ND_Illinois_v1.3,,
,,B o,,,Oak,,104,ND_Illinois_v1.3,,
,,B oak,,,Oak,,1036,ND_Illinois_v1.3,,
,,B oak ,,,Oak,,43,ND_Illinois_v1.3,,
,,B oak bush,,,Oak,,2,ND_Illinois_v1.3,,
,,B. Jack,,,Oak,,2,ND_Illinois_v1.3,,
,,B. O,,,Oak,,1,ND_Illinois_v1.3,,
,,B. O.,,,Oak,,2,ND_Illinois_v1.3,,
,,B. oak,,,Oak,,73,ND_Illinois_v1.3,,
,,B. oak bush,,,Oak,,1,ND_Illinois_v1.3,,
,,B.O,,,Oak,,2,ND_Illinois_v1.3,,
,,B.O.,,,Oak,,44,ND_Illinois_v1.3,,
,,bj,,,Oak,,2,ND_Illinois_v1.3,,
,,black,,,Oak,,2,ND_Illinois_v1.3,,
,,black ,,,Oak,,1,ND_Illinois_v1.3,,
,,Black jack,,,Oak,,23,ND_Illinois_v1.3,,
,,Black Jack ,,,Oak,,1,ND_Illinois_v1.3,,
,,Black O,,,Oak,,1,ND_Illinois_v1.3,,
,,Black Oak,,,Oak,,424,ND_Illinois_v1.3,,
,,black oak ,,,Oak,,1,ND_Illinois_v1.3,,
,,Blackjack,,,Oak,,2,ND_Illinois_v1.3,,
,,Blck Oak,,,Oak,,1,ND_Illinois_v1.3,,
,,blk o,,,Oak,,3,ND_Illinois_v1.3,,
,,blk oak,,,Oak,,40,ND_Illinois_v1.3,,
,,bo,,,Oak,,216,ND_Illinois_v1.3,,
,,Bo ,,,Oak,,6,ND_Illinois_v1.3,,
,,BO.,,,Oak,,28,ND_Illinois_v1.3,,
,,bu[r] oak,,,Oak,,1,ND_Illinois_v1.3,,
,,Bur O,,,Oak,,6,ND_Illinois_v1.3,,
,,bur oak,,,Oak,,132,ND_Illinois_v1.3,,
,,Burr,,,Oak,,2,ND_Illinois_v1.3,,
,,Burr ,,,Oak,,4,ND_Illinois_v1.3,,
,,Burr O.,,,Oak,,2,ND_Illinois_v1.3,,
,,burr oak,,,Oak,,851,ND_Illinois_v1.3,,
,,Burr Oak ,,,Oak,,1,ND_Illinois_v1.3,,
,,C oak,,,Oak,,1,ND_Illinois_v1.3,,
,,Chesn oak,,,Oak,,2,ND_Illinois_v1.3,,
,,double B Oak,,,Oak,,1,ND_Illinois_v1.3,,
,,Double Burr Oak,,,Oak,,3,ND_Illinois_v1.3,,
,,double pin oak,,,Oak,,1,ND_Illinois_v1.3,,
,,double white oak,,,Oak,,2,ND_Illinois_v1.3,,
,,forked b oak,,,Oak,,1,ND_Illinois_v1.3,,
,,forked black oak,,,Oak,,2,ND_Illinois_v1.3,,
,,forked w oak,,,Oak,,4,ND_Illinois_v1.3,,
,,Forked white oak,,,Oak,,1,ND_Illinois_v1.3,,
,,forked wo,,,Oak,,1,ND_Illinois_v1.3,,
,,g? oak,,,Oak,,1,ND_Illinois_v1.3,,
,,J oak,,,Oak,,29,ND_Illinois_v1.3,,
,,Jack O,,,Oak,,1,ND_Illinois_v1.3,,
,,jack oak,,,Oak,,2,ND_Illinois_v1.3,,
,,jo,,,Oak,,2,ND_Illinois_v1.3,,
,,M oak,,,Oak,,1,ND_Illinois_v1.3,,
,,oak,,,Oak,,9,ND_Illinois_v1.3,,
,,ocup oak,,,Oak,,2,ND_Illinois_v1.3,,
,,Overcup,,,Oak,,20,ND_Illinois_v1.3,,
,,Overcup ,,,Oak,,1,ND_Illinois_v1.3,,
,,overcup o,,,Oak,,1,ND_Illinois_v1.3,,
,,Overcup Oak,,,Oak,,26,ND_Illinois_v1.3,,
,,p o,,,Oak,,2,ND_Illinois_v1.3,,
,,P oak,,,Oak,,52,ND_Illinois_v1.3,,
,,p. oak,,,Oak,,1,ND_Illinois_v1.3,,
,,P.O,,,Oak,,1,ND_Illinois_v1.3,,
,,P.O.,,,Oak,,3,ND_Illinois_v1.3,,
,,pin,,,Oak,,2,ND_Illinois_v1.3,,
,,pin o,,,Oak,,9,ND_Illinois_v1.3,,
,,Pin Oak,,,Oak,,302,ND_Illinois_v1.3,,
,,pin oak ,,,Oak,,1,ND_Illinois_v1.3,,
,,po,,,Oak,,6,ND_Illinois_v1.3,,
,,PO.,,,Oak,,12,ND_Illinois_v1.3,,
,,post,,,Oak,,2,ND_Illinois_v1.3,,
,,post o,,,Oak,,6,ND_Illinois_v1.3,,
,,post O ,,,Oak,,1,ND_Illinois_v1.3,,
,,Post O.,,,Oak,,2,ND_Illinois_v1.3,,
,,post oak,,,Oak,,153,ND_Illinois_v1.3,,
,,post oak ,,,Oak,,3,ND_Illinois_v1.3,,
,,r o,,,Oak,,10,ND_Illinois_v1.3,,
,,r oak,,,Oak,,64,ND_Illinois_v1.3,,
,,R or B oak,,,Oak,,1,ND_Illinois_v1.3,,
,,R. oak,,,Oak,,1,ND_Illinois_v1.3,,
,,R.O.,,,Oak,,3,ND_Illinois_v1.3,,
,,red o,,,Oak,,5,ND_Illinois_v1.3,,
,,red oak,,,Oak,,170,ND_Illinois_v1.3,,
,,Red Oak ,,,Oak,,1,ND_Illinois_v1.3,,
,,Red pin oak,,,Oak,,1,ND_Illinois_v1.3,,
,,Red. oak,,,Oak,,1,ND_Illinois_v1.3,,
,,RO,,,Oak,,9,ND_Illinois_v1.3,,
,,ro oak,,,Oak,,1,ND_Illinois_v1.3,,
,,ro: oak,,,Oak,,1,ND_Illinois_v1.3,,
,,roak,,,Oak,,1,ND_Illinois_v1.3,,
,,S oak,,,Oak,,45,ND_Illinois_v1.3,,
,,S.O.,,,Oak,,2,ND_Illinois_v1.3,,
,,SO,,,Oak,,3,ND_Illinois_v1.3,,
,,Sp oak,,,Oak,,1,ND_Illinois_v1.3,,
,,Sp. oak,,,Oak,,1,ND_Illinois_v1.3,,
,,Span o,,,Oak,,2,ND_Illinois_v1.3,,
,,Span oak,,,Oak,,1,ND_Illinois_v1.3,,
,,Spanish O,,,Oak,,1,ND_Illinois_v1.3,,
,,Spanish Oak,,,Oak,,13,ND_Illinois_v1.3,,
,,Span-Oak,,,Oak,,1,ND_Illinois_v1.3,,
,,Sph O,,,Oak,,2,ND_Illinois_v1.3,,
,,Spn O,,,Oak,,2,ND_Illinois_v1.3,,
,,swamp black oak,,,Oak,,1,ND_Illinois_v1.3,,
,,swamp oak,,,Oak,,2,ND_Illinois_v1.3,,
,,W (slightly covered by finger) Oak,,,Oak,,1,ND_Illinois_v1.3,,
,,W o,,,Oak,,217,ND_Illinois_v1.3,,
,,W O ,,,Oak,,1,ND_Illinois_v1.3,,
,,W O.,,,Oak,,1,ND_Illinois_v1.3,,
,,w oak,,,Oak,,1833,ND_Illinois_v1.3,,
,,w oak ,,,Oak,,65,ND_Illinois_v1.3,,
,,W. O.,,,Oak,,4,ND_Illinois_v1.3,,
,,W. Oak,,,Oak,,84,ND_Illinois_v1.3,,
,,W.O,,,Oak,,2,ND_Illinois_v1.3,,
,,W.O.,,,Oak,,106,ND_Illinois_v1.3,,
,,white,,,Oak,,2,ND_Illinois_v1.3,,
,,White O.,,,Oak,,5,ND_Illinois_v1.3,,
,,white oak,,,Oak,,634,ND_Illinois_v1.3,,
,,white oak ,,,Oak,,5,ND_Illinois_v1.3,,
,,wo,,,Oak,,284,ND_Illinois_v1.3,,
,,wo ,,,Oak,,2,ND_Illinois_v1.3,,
,,WO.,,,Oak,,34,ND_Illinois_v1.3,,
,,yellow oak,,,Oak,,50,ND_Illinois_v1.3,,
,,crab apple,,,Other hardwood,,2,ND_Illinois_v1.3,,
,,Crab tree,,,Other hardwood,,1,ND_Illinois_v1.3,,
,,Haw,,,Other hardwood,,1,ND_Illinois_v1.3,,
