CTU Name,Average tree %,Lowest block group tree %,Highest block group tree %
Greenvale Twp.,0.0720204683875268,0.073,0.073
Greenwood,0.5648088041690988,0.501,0.501
Grey Cloud Island Twp.,0.5139003235543017,0.312,0.312
Ham Lake,0.445528723940291,0.376,0.5670000000000001
Hamburg,0.1624927048516478,0.063,0.063
Hampton,0.12222851779234216,0.078,0.078
Hampton Twp.,0.06480828258717758,0.078,0.078
Hancock Twp.,0.042255467572438636,0.062,0.062
Hanover,0.36827896292718343,0.223,0.223
Hastings,0.359155944445378,0.125,0.42200000000000004
Helena Twp.,0.13881656533053824,0.14,0.257
Hilltop,0.16988007545073314,0.174,0.174
Hollywood Twp.,0.07551248313741461,0.077,0.096
Hopkins,0.31616865062762767,0.091,0.501
Hugo,0.2766603833302987,0.24600000000000002,0.345
Independence,0.21379691349158628,0.171,0.249
Inver Grove Heights,0.4620802107839765,0.23600000000000002,0.602
Jackson Twp.,0.23408959422983366,0.205,0.282
Jordan,0.33693703954576615,0.225,0.359
Lake Elmo,0.3075451072927741,0.26,0.45
Lake St. Croix Beach,0.5157691458533938,0.488,0.545
Lakeland,0.46146662191739113,0.43700000000000006,0.502
Lakeland Shores,0.520573800665616,0.43700000000000006,0.43700000000000006
Laketown Twp.,0.19032373539206454,0.172,0.445
Lakeville,0.3199915154507926,0.07200000000000001,0.557
Landfall,0.23434261182003527,0.434,0.434
Lauderdale,0.33624287323294366,0.23800000000000002,0.435
Lexington,0.4215110430144549,0.359,0.36200000000000004
Lilydale,0.4783301523425049,0.507,0.568
Lino Lakes,0.33935887882897986,0.23199999999999998,0.525
Linwood Twp.,0.37859024495084276,0.327,0.451
Little Canada,0.39891865918643044,0.226,0.499
Long Lake,0.4268737760838178,0.307,0.508
Loretto,0.20027751401348745,0.245,0.245
Louisville Twp.,0.293627960405485,0.205,0.282
Mahtomedi,0.5214003204194387,0.48700000000000004,0.639
Maple Grove,0.3544916916356509,0.15,0.5920000000000001
Maple Plain,0.25674148578854833,0.171,0.225
Maplewood,0.4322844554162872,0.304,0.552
Marine on St. Croix,0.5119916170078145,0.509,0.509
Marshan Twp.,0.08479788418814656,0.086,0.147
May Twp.,0.3777981685451359,0.29100000000000004,0.51
Mayer,0.1449968328974473,0.086,0.13699999999999998
Medicine Lake,0.4590538729381069,0.45299999999999996,0.45299999999999996
Medina,0.3175327012272293,0.245,0.355
Mendota,0.6109181055760639,0.507,0.507
Mendota Heights,0.458454483071231,0.375,0.606
Miesville,0.037420162071987645,0.081,0.081
Minneapolis,0.27963451036747794,0,0.583
Minnetonka,0.5025233949144374,0.184,0.626
Minnetonka Beach,0.5247805628173238,0.49700000000000005,0.602
Minnetrista,0.24916867868276893,0.192,0.431
Mound,0.286944069497525,0.19,0.349
Mounds View,0.4404630933672652,0.307,0.5920000000000001
New Brighton,0.3735388421808564,0.183,0.503
New Germany,0.11251010988195856,0.077,0.096
New Hope,0.34796460159273535,0.17600000000000002,0.474
New Market Twp.,0.2044088692711439,0.156,0.257
New Prague,0.22463319300221662,0.14,0.257
New Trier,0.10954824499081034,0.078,0.078
Newport,0.4519436044420416,0.387,0.522
Nininger Twp.,0.19619716610777935,0.14,0.307
North Oaks,0.5288121641343257,0.46799999999999997,0.6729999999999999
North St. Paul,0.39468127177864726,0.268,0.483
Northfield,0.14922305679803366,0.073,0.073
Norwood Young America,0.13737213064249362,0.063,0.13699999999999998
Nowthen,0.26659506456307575,0.221,0.31
Oak Grove,0.39958221358408497,0.363,0.467
Oak Park Heights,0.3212254852679673,0.304,0.408
Oakdale,0.38614942163586186,0.233,0.544
Orono,0.46425318048944264,0.384,0.602
Osseo,0.19863023561717683,0.174,0.254
Pine Springs,0.5337939521338431,0.502,0.502
Plymouth,0.3963238901106543,0.18,0.595
Prior Lake,0.3700398151338243,0.21899999999999997,0.528
Ramsey,0.38420346633826846,0.254,0.513
Randolph,0.2151301905027454,0.078,0.078
Randolph Twp.,0.10137527786108491,0.078,0.078
Ravenna Twp.,0.3754767813273411,0.376,0.376
Richfield,0.32766641530102675,0.106,0.48700000000000004
Robbinsdale,0.3324365824812779,0.151,0.495
Rockford,0.2627389891527935,0.29600000000000004,0.29600000000000004
Rogers,0.1905879386589037,0.182,0.223
Rosemount,0.23724031228244397,0.21,0.447
Roseville,0.372466427710769,0.188,0.516
San Francisco Twp.,0.2535764374020036,0.141,0.341
Sand Creek Twp.,0.20385758512780505,0.225,0.225
Savage,0.3995460836664629,0.315,0.593
Scandia,0.36200631864574545,0.239,0.44
Sciota Twp.,0.04575186227013003,0.073,0.073
Shakopee,0.26907014855605393,0.205,0.436
Shoreview,0.43723597121850094,0.301,0.5670000000000001
Shorewood,0.5642217788909493,0.41600000000000004,0.6409999999999999
South St. Paul,0.32429268597476957,0.159,0.574
Spring Lake Park,0.3033010622541701,0.27,0.5479999999999999
Spring Lake Twp.,0.20737492403335145,0.146,0.27899999999999997
Spring Park,0.24456061288758127,0.17,0.49700000000000005
St. Anthony,0.33724435177949025,0.28800000000000003,0.41200000000000003
St. Bonifacius,0.22892465052968639,0.192,0.22699999999999998
St. Francis,0.3825767298474362,0.34,0.41700000000000004
St. Lawrence Twp.,0.3129794562857141,0.18600000000000003,0.18600000000000003
St. Louis Park,0.34573392987780344,0.12,0.541
St. Marys Point,0.5703968946625725,0.545,0.545
St. Paul,0.3449164413916732,0.018000000000000002,0.645
St. Paul Park,0.3002309126504316,0.3,0.39899999999999997
Stillwater,0.4275646132649744,0.303,0.52
Stillwater Twp.,0.3554517215535474,0.33899999999999997,0.516
Sunfish Lake,0.6234635774074535,0.66,0.66
Tonka Bay,0.48467129621658495,0.474,0.48100000000000004
Vadnais Heights,0.4186225313767039,0.254,0.556
Vermillion,0.1158529293301676,0.07,0.07
Vermillion Twp.,0.04978813036595004,0.07,0.14
Victoria,0.3349514221976872,0.172,0.445
Waconia,0.1615342697331839,0.086,0.2
Waconia Twp.,0.09968776762290195,0.086,0.2
Waterford Twp.,0.09645841470847188,0.073,0.073
Watertown,0.23397221122423725,0.13699999999999998,0.268
Watertown Twp.,0.1463513717850332,0.13699999999999998,0.185
Wayzata,0.4682815902971687,0.302,0.531
West Lakeland Twp.,0.34433118718966915,0.298,0.449
West St. Paul,0.41419083373591087,0.255,0.568
White Bear Lake,0.41165049148512856,0.369,0.5589999999999999
White Bear Twp.,0.41685662557852293,0.349,0.615
Willernie,0.49257200561586273,0.515,0.515
Woodbury,0.3156316955610799,0.18899999999999997,0.552
Woodland,0.5756676752813487,0.607,0.607
Young America Twp.,0.06429065246110285,0.063,0.13699999999999998
