system:index,ALAND,AWATER,BLKGRPCE,COUNTYFP,FUNCSTAT,GEOID,GEO_NAME,INTPTLAT,INTPTLON,MTFCC,NAMELSAD,STATEFP,TRACTCE,Year,ndvi,.geo
0000000000000000017e,5.70498177E8,2059727.0,1,001,S,270017905011,270017905011,+46.3055325,-093.3664452,G5030,Block Group 1,27,790501,2021,0.7758552320954731,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000017f,8.9032457E8,1.4871127E7,1,001,S,270017702001,270017702001,+46.9181539,-093.5478041,G5030,Block Group 1,27,770200,2021,0.735563816673651,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000184,3.37944549E8,2.0420947E7,1,001,S,270017704001,270017704001,+46.5595007,-093.2610500,G5030,Block Group 1,27,770400,2021,0.7156995829448535,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000185,1.3312657E7,85779.0,1,001,S,270017703001,270017703001,+46.5298966,-093.6754568,G5030,Block Group 1,27,770300,2021,0.694885713356053,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001ca,2.8275856E7,9461352.0,1,057,S,270570704001,270570704001,+46.9616534,-094.9004696,G5030,Block Group 1,27,070400,2021,0.5903494922567839,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001cd,1.58381818E8,4876776.0,1,057,S,270570705001,270570705001,+46.8867696,-095.1105536,G5030,Block Group 1,27,070500,2021,0.6968633783172552,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001ce,4893197.0,622894.0,1,057,S,270570706001,270570706001,+46.9280270,-095.0414958,G5030,Block Group 1,27,070600,2021,0.6017445710005395,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001e5,1.98794733E8,121380.0,1,043,S,270434605001,270434605001,+43.5972420,-093.9462565,G5030,Block Group 1,27,460500,2021,0.6877345885819804,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001e8,2.6048894E8,7161799.0,1,043,S,270434602001,270434602001,+43.7872056,-094.1071420,G5030,Block Group 1,27,460200,2021,0.66708382677798,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001e9,2.80899077E8,682196.0,1,043,S,270434603001,270434603001,+43.5795517,-094.1201862,G5030,Block Group 1,27,460300,2021,0.7079970295249132,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001ed,5.2225472E8,9298335.0,1,073,S,270731802001,270731802001,+45.1169575,-096.3462822,G5030,Block Group 1,27,180200,2021,0.6179427275690008,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001ff,2.9455354E8,2.3452601E7,1,057,S,270570707001,270570707001,+46.8754271,-094.8204026,G5030,Block Group 1,27,070700,2021,0.6732587608118977,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000212,4.40172192E8,3.0425627E7,1,057,S,270570702001,270570702001,+47.1444608,-095.0319099,G5030,Block Group 1,27,070200,2021,0.7504653891777744,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000248,1.56325007E8,137471.0,1,129,S,271297904001,271297904001,+44.5892728,-094.9695024,G5030,Block Group 1,27,790400,2021,0.7144849530056607,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000249,3.66618402E8,113666.0,1,129,S,271297906001,271297906001,+44.6223647,-094.7619911,G5030,Block Group 1,27,790600,2021,0.6598097804175616,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000024d,8.8940154E7,78768.0,1,129,S,271297905001,271297905001,+44.7522926,-095.0612782,G5030,Block Group 1,27,790500,2021,0.6444976447361376,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000024e,2.69119286E8,8872385.0,1,129,S,271297901001,271297901001,+44.8265896,-094.6154167,G5030,Block Group 1,27,790100,2021,0.5741498051783913,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002a0,1.0902803E7,12511.0,1,161,S,271617905001,271617905001,+44.0562308,-093.4911735,G5030,Block Group 1,27,790500,2021,0.6074528657099265,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002a5,1.9258883E7,396604.0,1,071,S,270717902001,270717902001,+48.5675135,-093.4506645,G5030,Block Group 1,27,790200,2021,0.7022083396529477,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002a7,3.502844E7,6.4382364E7,1,071,S,270717903001,270717903001,+48.6189144,-093.2539115,G5030,Block Group 1,27,790300,2021,0.3602064443091475,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002a8,2.46420613E8,2867671.0,1,071,S,270717905001,270717905001,+48.4523325,-093.6246109,G5030,Block Group 1,27,790500,2021,0.6836678866362564,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000316,4.20011501E8,628363.0,1,135,S,271359701001,271359701001,+48.9368000,-095.5605802,G5030,Block Group 1,27,970100,2021,0.689913776281805,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000033c,6.40066959E8,1.235825784E9,1,077,S,270774604001,270774604001,+48.9692144,-094.9710077,G5030,Block Group 1,27,460400,2021,0.27143022595198746,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000033d,6.33153078E8,4761259.0,1,077,S,270774603001,270774603001,+48.5974535,-094.6005910,G5030,Block Group 1,27,460300,2021,0.6798166560466825,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000356,1.55890599E8,505954.0,1,087,S,270879401001,270879401001,+47.2167534,-095.9866859,G5030,Block Group 1,27,940100,2021,0.6124931886136579,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003a3,3.38002769E8,2.5852464E7,1,101,S,271019001001,271019001001,+44.1458295,-095.6381124,G5030,Block Group 1,27,900100,2021,0.5647833997543174,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003ac,4.03018597E8,57964.0,1,125,S,271250101001,271250101001,+47.8991553,-095.9127935,G5030,Block Group 1,27,010100,2021,0.6580877865245366,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003ad,1.82554336E8,78589.0,1,125,S,271250102001,271250102001,+47.9197105,-096.3639027,G5030,Block Group 1,27,010200,2021,0.6879639796754307,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003b1,1.372676114E9,4.2062445E7,1,075,S,270753701001,270753701001,+47.3855158,-091.3599472,G5030,Block Group 1,27,370100,2021,0.7577340518066777,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000044e,1.7698454E7,1460312.0,1,051,S,270510701001,270510701001,+45.9945919,-095.9708961,G5030,Block Group 1,27,070100,2021,0.5188643703280168,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000450,3.57431926E8,1.6334586E7,1,051,S,270510702001,270510702001,+45.8378837,-095.9108467,G5030,Block Group 1,27,070200,2021,0.5774888060371436,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000494,3.268576E8,200004.0,1,129,S,271297903001,271297903001,+44.7794400,-095.3561602,G5030,Block Group 1,27,790300,2021,0.6894517060984138,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000636,1.093719737E9,1.3595105E7,1,135,S,271359702001,271359702001,+48.8855277,-096.1520543,G5030,Block Group 1,27,970200,2021,0.600807031017107,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000735,7.6151723E7,1.8151908E7,1,075,S,270753703001,270753703001,+47.2356375,-091.3659531,G5030,Block Group 1,27,370300,2021,0.7300613834161052,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007c0,1.3222615E7,694802.0,1,173,S,271739701001,271739701001,+44.8330737,-095.5897225,G5030,Block Group 1,27,970100,2021,0.6273622991263653,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007c1,3.53939405E8,909111.0,1,173,S,271739703001,271739703001,+44.7539170,-095.9810625,G5030,Block Group 1,27,970300,2021,0.6268764674810129,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007c2,1.58433857E8,1909057.0,1,173,S,271739704001,271739704001,+44.6803316,-095.6137707,G5030,Block Group 1,27,970400,2021,0.6329783822449779,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000008d2,1.0723837E7,706316.0,1,023,S,270239506001,270239506001,+44.9147873,-095.7024509,G5030,Block Group 1,27,950600,2021,0.6406335212096022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000091f,1.98830944E8,6793756.0,1,115,S,271159503001,271159503001,+46.2097343,-092.9268394,G5030,Block Group 1,27,950300,2021,0.744740132642878,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000921,1.8842909E7,3024710.0,1,115,S,271159507001,271159507001,+45.8662696,-092.9578138,G5030,Block Group 1,27,950700,2021,0.6409612595659988,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000094b,1.11398713E8,2723503.0,1,029,S,270290001001,270290001001,+47.5581793,-095.4580235,G5030,Block Group 1,27,000100,2021,0.6994243942971884,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000094d,3.94564606E8,1.8480118E7,1,029,S,270290002001,270290002001,+47.3325964,-095.4771320,G5030,Block Group 1,27,000200,2021,0.7424227542809685,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a82,6180768.0,10612.0,1,133,S,271335702001,271335702001,+43.6655104,-096.2295501,G5030,Block Group 1,27,570200,2021,0.5919995483408976,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a86,2.87206806E8,269979.0,1,133,S,271335703001,271335703001,+43.5800341,-096.1432605,G5030,Block Group 1,27,570300,2021,0.6810122147901719,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a8b,3.4118393E8,119329.0,1,133,S,271335701001,271335701001,+43.7546917,-096.3370765,G5030,Block Group 1,27,570100,2021,0.6769346045739765,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ae0,4227609.0,171137.0,1,043,S,270434604001,270434604001,+43.6500602,-094.1162040,G5030,Block Group 1,27,460400,2021,0.6781598933445191,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ae5,2.45971634E8,120420.0,1,063,S,270634801001,270634801001,+43.6022446,-094.9243261,G5030,Block Group 1,27,480100,2021,0.6357856950761862,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ae6,2.38599362E8,248059.0,1,063,S,270634802001,270634802001,+43.7493655,-095.3580179,G5030,Block Group 1,27,480200,2021,0.6984948557548137,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000af3,4.45442848E8,1307207.0,1,107,S,271079601001,271079601001,+47.4274284,-096.2496445,G5030,Block Group 1,27,960100,2021,0.6733744880568673,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000af4,3.47313776E8,1798660.0,1,107,S,271079603001,271079603001,+47.2351298,-096.5487350,G5030,Block Group 1,27,960300,2021,0.6814264891658368,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000af6,6.72293376E8,1518360.0,1,107,S,271079602001,271079602001,+47.4046119,-096.6445859,G5030,Block Group 1,27,960200,2021,0.6356478668723412,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000b31,8.14599029E8,3946710.0,1,069,S,270690901001,270690901001,+48.8643696,-096.6042422,G5030,Block Group 1,27,090100,2021,0.6509548131925528,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000b36,8.45968238E8,4044269.0,1,069,S,270690902001,270690902001,+48.8581871,-097.0302227,G5030,Block Group 1,27,090200,2021,0.6535440845264147,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000b9f,1.86931601E8,657039.0,1,033,S,270332702001,270332702001,+44.1159210,-095.3920676,G5030,Block Group 1,27,270200,2021,0.7035682337187108,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ba6,2.92238949E8,1617136.0,1,033,S,270332701001,270332701001,+44.0296688,-095.0078089,G5030,Block Group 1,27,270100,2021,0.6455490753986715,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ba7,3.96519217E8,1.0707867E7,1,033,S,270332703001,270332703001,+43.9270985,-095.3288382,G5030,Block Group 1,27,270300,2021,0.6520465892783934,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ba9,1.80908322E8,4269078.0,1,033,S,270332704001,270332704001,+43.8976894,-094.9703252,G5030,Block Group 1,27,270400,2021,0.6170492815841624,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000bb6,6.53273496E8,2296908.0,1,151,S,271519603001,271519603001,+45.2749087,-095.7168717,G5030,Block Group 1,27,960300,2021,0.6490929848460804,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000bba,7881284.0,1245.0,1,117,S,271174602001,271174602001,+43.9855886,-096.3011018,G5030,Block Group 1,27,460200,2021,0.5444871541429822,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000bbb,9674894.0,432566.0,1,127,S,271277503001,271277503001,+44.5358442,-095.1537157,G5030,Block Group 1,27,750300,2021,0.6748935944582589,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000bc2,2.26995262E8,3132540.0,1,043,S,270434601001,270434601001,+43.7676613,-093.7788558,G5030,Block Group 1,27,460100,2021,0.6469359762639676,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000bc3,7.5072483E7,78582.0,1,043,S,270434606001,270434606001,+43.7092467,-093.6974194,G5030,Block Group 1,27,460600,2021,0.6348024546360189,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000bfe,2.49945021E8,8780561.0,1,063,S,270634803001,270634803001,+43.5660116,-095.1852916,G5030,Block Group 1,27,480300,2021,0.5950105336410529,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000c45,7.11350435E8,6096313.0,1,155,S,271554601001,271554601001,+45.8806722,-096.4229596,G5030,Block Group 1,27,460100,2021,0.6144527604310032,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000c46,7.45372169E8,2.3865822E7,1,155,S,271554602001,271554602001,+45.6651873,-096.5213974,G5030,Block Group 1,27,460200,2021,0.5385245278496683,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000c68,2.99851979E8,891283.0,1,127,S,271277505001,271277505001,+44.3014699,-095.4842902,G5030,Block Group 1,27,750500,2021,0.6815275643806391,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000c69,2.2398664E7,693097.0,1,127,S,271277502001,271277502001,+44.5510295,-095.0794873,G5030,Block Group 1,27,750200,2021,0.6990209338634565,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000c6a,1.6727377E8,218224.0,1,127,S,271277506001,271277506001,+44.2465310,-095.3601683,G5030,Block Group 1,27,750600,2021,0.688950251525823,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000c9e,1.457036296E9,1.51869575E8,1,031,S,270314801001,270314801001,+48.1810462,-091.0318745,G5030,Block Group 1,27,480100,2021,0.701495894492067,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000c9f,1.47333356E8,8474067.0,1,031,S,270314802001,270314802001,+47.7989370,-090.4463588,G5030,Block Group 1,27,480200,2021,0.71256034518391,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000cbf,2.60231361E8,308062.0,1,117,S,271174604001,271174604001,+43.9459098,-096.2952027,G5030,Block Group 1,27,460400,2021,0.6617546884174057,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000cc0,3.06981277E8,640092.0,1,117,S,271174601001,271174601001,+44.0593632,-096.2549114,G5030,Block Group 1,27,460100,2021,0.6484315589596247,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000cc1,4006380.0,45624.0,1,117,S,271174603001,271174603001,+44.0126401,-096.3291154,G5030,Block Group 1,27,460300,2021,0.5970360749415118,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000cc2,1.92394937E8,324828.0,1,117,S,271174605001,271174605001,+43.9377364,-096.1292263,G5030,Block Group 1,27,460500,2021,0.6626574586905776,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000cc8,8.5527165E7,6382246.0,1,057,S,270570703001,270570703001,+47.2160593,-094.7501577,G5030,Block Group 1,27,070300,2021,0.7218744508172438,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000cc9,1.83126342E8,1.0855202E7,1,057,S,270570701001,270570701001,+47.3240310,-094.7258523,G5030,Block Group 1,27,070100,2021,0.7228022369032991,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ccb,3.90955128E8,5202040.0,1,081,S,270812010011,270812010011,+44.4535351,-096.1540152,G5030,Block Group 1,27,201001,2021,0.6482109862442149,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ccc,2.3099185E8,1.1159876E7,1,081,S,270812010021,270812010021,+44.2764602,-096.3537091,G5030,Block Group 1,27,201002,2021,0.6043364563643991,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000cd0,3.03557281E8,8220962.0,1,065,S,270654801001,270654801001,+46.0659638,-093.1582974,G5030,Block Group 1,27,480100,2021,0.7675520067593714,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000cd6,8602525.0,470932.0,1,065,S,270654803001,270654803001,+45.8922561,-093.3054439,G5030,Block Group 1,27,480300,2021,0.6941635310905379,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000cd7,1.95552467E8,8666598.0,1,065,S,270654802001,270654802001,+45.9565234,-093.3686456,G5030,Block Group 1,27,480200,2021,0.7639602851770867,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000cd8,6.3500685E7,3642690.0,1,065,S,270654804001,270654804001,+45.8364338,-093.3287015,G5030,Block Group 1,27,480400,2021,0.7215662611702027,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ce5,3.1919885E8,108517.0,1,167,S,271679501001,271679501001,+46.5939614,-096.5338966,G5030,Block Group 1,27,950100,2021,0.6228140497094083,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ce7,4.82459413E8,2.9602489E7,1,087,S,270879403001,270879403001,+47.2728271,-095.7386744,G5030,Block Group 1,27,940300,2021,0.676110930501538,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000cf2,4169625.0,33096.0,1,113,S,271130905001,271130905001,+48.1063037,-096.1411576,G5030,Block Group 1,27,090500,2021,0.5451469418542013,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000cf6,6829399.0,355726.0,1,113,S,271130902001,271130902001,+48.1335941,-096.1664450,G5030,Block Group 1,27,090200,2021,0.5701749472169015,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000cf8,3.35145735E8,1811080.0,1,113,S,271130903001,271130903001,+48.0903562,-096.3601513,G5030,Block Group 1,27,090300,2021,0.653321653578057,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000cfd,3.15049588E8,581702.0,1,113,S,271130901001,271130901001,+48.0342996,-095.9595054,G5030,Block Group 1,27,090100,2021,0.6594601360340484,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000d11,1.02445932E8,31207.0,1,039,S,270399502001,270399502001,+44.0742041,-092.8588605,G5030,Block Group 1,27,950200,2021,0.7267504225394021,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000d14,1.83861735E8,90882.0,1,039,S,270399504001,270399504001,+43.8846053,-092.9314904,G5030,Block Group 1,27,950400,2021,0.7060244485374189,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000d1a,1.6866971E7,6309.0,1,039,S,270399503001,270399503001,+44.1494888,-092.8935887,G5030,Block Group 1,27,950300,2021,0.641114617726078,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000d1b,1.26356783E8,230436.0,1,039,S,270399501001,270399501001,+44.1612030,-092.8050092,G5030,Block Group 1,27,950100,2021,0.7563845163939391,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000d6a,3.43958087E8,40579.0,1,127,S,271277501001,271277501001,+44.3585443,-094.9973522,G5030,Block Group 1,27,750100,2021,0.6562374345060973,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000d6b,4.02539225E8,2632193.0,1,127,S,271277504001,271277504001,+44.5632151,-095.2484787,G5030,Block Group 1,27,750400,2021,0.6823215017006471,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000d76,3.46887252E8,3969343.0,1,101,S,271019003001,271019003001,+43.9770597,-095.5455145,G5030,Block Group 1,27,900300,2021,0.6571758460554598,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ece,2.48651126E8,4671883.0,1,159,S,271594802001,271594802001,+46.5167785,-094.8620788,G5030,Block Group 1,27,480200,2021,0.6990463324054635,"{""type"":""MultiPoint"",""coordinates"":[]}"
